device=cuda dataset=imdb(real) clients=20 malicious=4 defense=trimmed_mean attack=sign_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.51s
round   2 | acc=0.5000 | bsr=nan | agg=0.50s
round   3 | acc=0.5000 | bsr=nan | agg=0.49s
round   4 | acc=0.5000 | bsr=nan | agg=0.51s
round   5 | acc=0.5000 | bsr=nan | agg=0.51s
round   6 | acc=0.5000 | bsr=nan | agg=0.50s
round   7 | acc=0.5000 | bsr=nan | agg=0.51s
round   8 | acc=0.5000 | bsr=nan | agg=0.51s
round   9 | acc=0.5000 | bsr=nan | agg=0.50s
round  10 | acc=0.5000 | bsr=nan | agg=0.51s
round  11 | acc=0.5000 | bsr=nan | agg=0.51s
round  12 | acc=0.5000 | bsr=nan | agg=0.51s
round  13 | acc=0.5000 | bsr=nan | agg=0.51s
round  14 | acc=0.5000 | bsr=nan | agg=0.51s
round  15 | acc=0.5000 | bsr=nan | agg=0.51s
round  16 | acc=0.5000 | bsr=nan | agg=0.52s
round  17 | acc=0.5000 | bsr=nan | agg=0.50s
round  18 | acc=0.5000 | bsr=nan | agg=0.51s
round  19 | acc=0.5000 | bsr=nan | agg=0.50s
round  20 | acc=0.5000 | bsr=nan | agg=0.50s
round  21 | acc=0.5000 | bsr=nan | agg=0.49s
round  22 | acc=0.5000 | bsr=nan | agg=0.49s
round  23 | acc=0.5000 | bsr=nan | agg=0.50s
round  24 | acc=0.5000 | bsr=nan | agg=0.51s
round  25 | acc=0.5000 | bsr=nan | agg=0.49s
round  26 | acc=0.5000 | bsr=nan | agg=0.49s
round  27 | acc=0.5000 | bsr=nan | agg=0.50s
round  28 | acc=0.5000 | bsr=nan | agg=0.48s
round  29 | acc=0.5000 | bsr=nan | agg=0.49s
round  30 | acc=0.5001 | bsr=nan | agg=0.49s
