device=cuda dataset=imdb(real) clients=20 malicious=4 defense=median attack=sign_flip
round   1 | acc=0.5000 | bsr=nan | agg=0.48s
round   2 | acc=0.5000 | bsr=nan | agg=0.46s
round   3 | acc=0.5000 | bsr=nan | agg=0.48s
round   4 | acc=0.5000 | bsr=nan | agg=0.50s
round   5 | acc=0.5000 | bsr=nan | agg=0.48s
round   6 | acc=0.5000 | bsr=nan | agg=0.48s
round   7 | acc=0.5000 | bsr=nan | agg=0.48s
round   8 | acc=0.5000 | bsr=nan | agg=0.50s
round   9 | acc=0.5000 | bsr=nan | agg=0.47s
round  10 | acc=0.5000 | bsr=nan | agg=0.48s
round  11 | acc=0.5000 | bsr=nan | agg=0.47s
round  12 | acc=0.5000 | bsr=nan | agg=0.50s
round  13 | acc=0.5000 | bsr=nan | agg=0.48s
round  14 | acc=0.5000 | bsr=nan | agg=0.49s
round  15 | acc=0.5000 | bsr=nan | agg=0.48s
round  16 | acc=0.5000 | bsr=nan | agg=0.49s
round  17 | acc=0.5000 | bsr=nan | agg=0.47s
round  18 | acc=0.5000 | bsr=nan | agg=0.49s
round  19 | acc=0.5000 | bsr=nan | agg=0.48s
round  20 | acc=0.5000 | bsr=nan | agg=0.48s
round  21 | acc=0.5000 | bsr=nan | agg=0.47s
round  22 | acc=0.5000 | bsr=nan | agg=0.48s
round  23 | acc=0.5000 | bsr=nan | agg=0.50s
round  24 | acc=0.5000 | bsr=nan | agg=0.48s
round  25 | acc=0.5000 | bsr=nan | agg=0.48s
round  26 | acc=0.5000 | bsr=nan | agg=0.48s
round  27 | acc=0.5000 | bsr=nan | agg=0.47s
round  28 | acc=0.5000 | bsr=nan | agg=0.48s
round  29 | acc=0.5000 | bsr=nan | agg=0.48s
round  30 | acc=0.5000 | bsr=nan | agg=0.48s
