device=cuda dataset=imdb(real) clients=20 malicious=4 defense=ecf attack=sign_flip
round   1 | acc=0.5079 | bsr=nan | agg=0.24s | det_auroc=0.422 | tpr@5=0.00
round   2 | acc=0.5044 | bsr=nan | agg=0.22s | det_auroc=0.422 | tpr@5=0.00
round   3 | acc=0.5008 | bsr=nan | agg=0.23s | det_auroc=0.406 | tpr@5=0.00
round   4 | acc=0.5002 | bsr=nan | agg=0.20s | det_auroc=0.391 | tpr@5=0.00
round   5 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.328 | tpr@5=0.00
round   6 | acc=0.5000 | bsr=nan | agg=0.22s | det_auroc=0.406 | tpr@5=0.00
round   7 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.281 | tpr@5=0.00
round   8 | acc=0.5000 | bsr=nan | agg=0.22s | det_auroc=0.250 | tpr@5=0.00
round   9 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.250 | tpr@5=0.00
round  10 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.250 | tpr@5=0.00
round  11 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.250 | tpr@5=0.00
round  12 | acc=0.5000 | bsr=nan | agg=0.21s | det_auroc=0.250 | tpr@5=0.00
round  13 | acc=0.5000 | bsr=nan | agg=0.20s | det_auroc=0.219 | tpr@5=0.00
round  14 | acc=0.5001 | bsr=nan | agg=0.20s | det_auroc=0.219 | tpr@5=0.00
round  15 | acc=0.5005 | bsr=nan | agg=0.21s | det_auroc=0.250 | tpr@5=0.00
round  16 | acc=0.5014 | bsr=nan | agg=0.21s | det_auroc=0.219 | tpr@5=0.00
round  17 | acc=0.5032 | bsr=nan | agg=0.20s | det_auroc=0.234 | tpr@5=0.00
round  18 | acc=0.5058 | bsr=nan | agg=0.21s | det_auroc=0.219 | tpr@5=0.00
round  19 | acc=0.5102 | bsr=nan | agg=0.20s | det_auroc=0.234 | tpr@5=0.00
round  20 | acc=0.5120 | bsr=nan | agg=0.22s | det_auroc=0.234 | tpr@5=0.00
round  21 | acc=0.5190 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  22 | acc=0.5272 | bsr=nan | agg=0.20s | det_auroc=0.234 | tpr@5=0.00
round  23 | acc=0.5362 | bsr=nan | agg=0.20s | det_auroc=0.250 | tpr@5=0.00
round  24 | acc=0.5431 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  25 | acc=0.5520 | bsr=nan | agg=0.18s | det_auroc=0.234 | tpr@5=0.00
round  26 | acc=0.5567 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  27 | acc=0.5581 | bsr=nan | agg=0.19s | det_auroc=0.234 | tpr@5=0.00
round  28 | acc=0.5644 | bsr=nan | agg=0.21s | det_auroc=0.234 | tpr@5=0.00
round  29 | acc=0.5789 | bsr=nan | agg=0.19s | det_auroc=0.234 | tpr@5=0.00
round  30 | acc=0.5864 | bsr=nan | agg=0.20s | det_auroc=0.219 | tpr@5=0.00
