device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=sign_flip
round   1 | acc=0.6814 | bsr=nan | agg=0.08s | det_auroc=0.609 | tpr@5=0.00
round   2 | acc=0.7241 | bsr=nan | agg=0.07s | det_auroc=0.578 | tpr@5=0.00
round   3 | acc=0.7500 | bsr=nan | agg=0.07s | det_auroc=0.516 | tpr@5=0.00
round   4 | acc=0.7759 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round   5 | acc=0.7866 | bsr=nan | agg=0.08s | det_auroc=0.531 | tpr@5=0.00
round   6 | acc=0.6890 | bsr=nan | agg=0.07s | det_auroc=0.609 | tpr@5=0.00
round   7 | acc=0.5473 | bsr=nan | agg=0.08s | det_auroc=0.484 | tpr@5=0.00
round   8 | acc=0.4101 | bsr=nan | agg=0.07s | det_auroc=0.562 | tpr@5=0.00
round   9 | acc=0.2729 | bsr=nan | agg=0.08s | det_auroc=0.484 | tpr@5=0.00
round  10 | acc=0.1966 | bsr=nan | agg=0.07s | det_auroc=0.500 | tpr@5=0.00
round  11 | acc=0.2104 | bsr=nan | agg=0.05s | det_auroc=0.500 | tpr@5=0.00
round  12 | acc=0.2500 | bsr=nan | agg=0.07s | det_auroc=0.469 | tpr@5=0.00
round  13 | acc=0.1845 | bsr=nan | agg=0.07s | det_auroc=0.547 | tpr@5=0.00
round  14 | acc=0.1982 | bsr=nan | agg=0.07s | det_auroc=0.578 | tpr@5=0.00
round  15 | acc=0.2256 | bsr=nan | agg=0.08s | det_auroc=0.578 | tpr@5=0.00
round  16 | acc=0.2713 | bsr=nan | agg=0.08s | det_auroc=0.594 | tpr@5=0.00
round  17 | acc=0.3155 | bsr=nan | agg=0.07s | det_auroc=0.516 | tpr@5=0.00
round  18 | acc=0.3704 | bsr=nan | agg=0.08s | det_auroc=0.484 | tpr@5=0.00
round  19 | acc=0.2470 | bsr=nan | agg=0.07s | det_auroc=0.562 | tpr@5=0.00
round  20 | acc=0.1890 | bsr=nan | agg=0.07s | det_auroc=0.547 | tpr@5=0.00
round  21 | acc=0.1662 | bsr=nan | agg=0.06s | det_auroc=0.547 | tpr@5=0.00
round  22 | acc=0.1768 | bsr=nan | agg=0.07s | det_auroc=0.594 | tpr@5=0.00
round  23 | acc=0.1585 | bsr=nan | agg=0.06s | det_auroc=0.562 | tpr@5=0.00
round  24 | acc=0.1677 | bsr=nan | agg=0.06s | det_auroc=0.578 | tpr@5=0.00
round  25 | acc=0.1784 | bsr=nan | agg=0.09s | det_auroc=0.531 | tpr@5=0.00
round  26 | acc=0.1905 | bsr=nan | agg=0.09s | det_auroc=0.594 | tpr@5=0.00
round  27 | acc=0.2241 | bsr=nan | agg=0.07s | det_auroc=0.609 | tpr@5=0.00
round  28 | acc=0.2668 | bsr=nan | agg=0.06s | det_auroc=0.594 | tpr@5=0.00
round  29 | acc=0.3369 | bsr=nan | agg=0.08s | det_auroc=0.562 | tpr@5=0.00
round  30 | acc=0.3857 | bsr=nan | agg=0.08s | det_auroc=0.531 | tpr@5=0.00
round  31 | acc=0.4436 | bsr=nan | agg=0.07s | det_auroc=0.578 | tpr@5=0.00
round  32 | acc=0.4954 | bsr=nan | agg=0.08s | det_auroc=0.547 | tpr@5=0.00
round  33 | acc=0.5351 | bsr=nan | agg=0.07s | det_auroc=0.484 | tpr@5=0.00
round  34 | acc=0.5869 | bsr=nan | agg=0.06s | det_auroc=0.547 | tpr@5=0.00
round  35 | acc=0.6341 | bsr=nan | agg=0.08s | det_auroc=0.516 | tpr@5=0.00
round  36 | acc=0.6768 | bsr=nan | agg=0.08s | det_auroc=0.547 | tpr@5=0.00
round  37 | acc=0.7241 | bsr=nan | agg=0.05s | det_auroc=0.547 | tpr@5=0.00
round  38 | acc=0.6357 | bsr=nan | agg=0.05s | det_auroc=0.531 | tpr@5=0.00
round  39 | acc=0.6738 | bsr=nan | agg=0.07s | det_auroc=0.547 | tpr@5=0.00
round  40 | acc=0.7195 | bsr=nan | agg=0.07s | det_auroc=0.531 | tpr@5=0.00
