device=cuda dataset=fraud(real) clients=20 malicious=4 defense=ecf attack=constrained_backdoor
round   1 | acc=0.5335 | bsr=1.000 | agg=0.08s | det_auroc=0.812 | tpr@5=0.00
round   2 | acc=0.5869 | bsr=1.000 | agg=0.08s | det_auroc=0.703 | tpr@5=0.00
round   3 | acc=0.6540 | bsr=1.000 | agg=0.08s | det_auroc=0.609 | tpr@5=0.00
round   4 | acc=0.7043 | bsr=1.000 | agg=0.08s | det_auroc=0.609 | tpr@5=0.00
round   5 | acc=0.7942 | bsr=1.000 | agg=0.08s | det_auroc=0.391 | tpr@5=0.00
round   6 | acc=0.8582 | bsr=1.000 | agg=0.07s | det_auroc=0.344 | tpr@5=0.00
round   7 | acc=0.9055 | bsr=1.000 | agg=0.07s | det_auroc=0.328 | tpr@5=0.00
round   8 | acc=0.9268 | bsr=1.000 | agg=0.07s | det_auroc=0.312 | tpr@5=0.00
round   9 | acc=0.9375 | bsr=1.000 | agg=0.07s | det_auroc=0.391 | tpr@5=0.00
round  10 | acc=0.9558 | bsr=1.000 | agg=0.08s | det_auroc=0.297 | tpr@5=0.00
round  11 | acc=0.9512 | bsr=1.000 | agg=0.07s | det_auroc=0.312 | tpr@5=0.00
round  12 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.250 | tpr@5=0.00
round  13 | acc=0.9558 | bsr=1.000 | agg=0.08s | det_auroc=0.375 | tpr@5=0.00
round  14 | acc=0.9573 | bsr=1.000 | agg=0.07s | det_auroc=0.250 | tpr@5=0.00
round  15 | acc=0.9573 | bsr=1.000 | agg=0.07s | det_auroc=0.219 | tpr@5=0.00
round  16 | acc=0.9573 | bsr=1.000 | agg=0.08s | det_auroc=0.328 | tpr@5=0.00
round  17 | acc=0.9573 | bsr=1.000 | agg=0.07s | det_auroc=0.391 | tpr@5=0.00
round  18 | acc=0.9588 | bsr=1.000 | agg=0.08s | det_auroc=0.250 | tpr@5=0.00
round  19 | acc=0.9573 | bsr=1.000 | agg=0.08s | det_auroc=0.422 | tpr@5=0.00
round  20 | acc=0.9573 | bsr=1.000 | agg=0.08s | det_auroc=0.375 | tpr@5=0.00
round  21 | acc=0.9573 | bsr=1.000 | agg=0.08s | det_auroc=0.312 | tpr@5=0.00
round  22 | acc=0.9573 | bsr=1.000 | agg=0.08s | det_auroc=0.344 | tpr@5=0.00
round  23 | acc=0.9558 | bsr=1.000 | agg=0.08s | det_auroc=0.453 | tpr@5=0.00
round  24 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.375 | tpr@5=0.00
round  25 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.297 | tpr@5=0.00
round  26 | acc=0.9543 | bsr=1.000 | agg=0.07s | det_auroc=0.328 | tpr@5=0.00
round  27 | acc=0.9527 | bsr=1.000 | agg=0.07s | det_auroc=0.250 | tpr@5=0.00
round  28 | acc=0.9543 | bsr=1.000 | agg=0.07s | det_auroc=0.203 | tpr@5=0.00
round  29 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.219 | tpr@5=0.00
round  30 | acc=0.9558 | bsr=1.000 | agg=0.08s | det_auroc=0.281 | tpr@5=0.00
round  31 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.219 | tpr@5=0.00
round  32 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.312 | tpr@5=0.00
round  33 | acc=0.9543 | bsr=1.000 | agg=0.08s | det_auroc=0.297 | tpr@5=0.00
round  34 | acc=0.9527 | bsr=1.000 | agg=0.07s | det_auroc=0.250 | tpr@5=0.00
round  35 | acc=0.9527 | bsr=1.000 | agg=0.07s | det_auroc=0.234 | tpr@5=0.00
round  36 | acc=0.9512 | bsr=1.000 | agg=0.08s | det_auroc=0.250 | tpr@5=0.00
round  37 | acc=0.9512 | bsr=1.000 | agg=0.07s | det_auroc=0.250 | tpr@5=0.00
round  38 | acc=0.9512 | bsr=1.000 | agg=0.07s | det_auroc=0.234 | tpr@5=0.00
round  39 | acc=0.9512 | bsr=1.000 | agg=0.08s | det_auroc=0.234 | tpr@5=0.00
round  40 | acc=0.9497 | bsr=1.000 | agg=0.08s | det_auroc=0.266 | tpr@5=0.00
