device=cuda dataset=fraud(real) clients=20 malicious=4 defense=fltrust attack=min_max
round   1 | acc=0.8659 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round   2 | acc=0.8811 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round   3 | acc=0.9070 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round   4 | acc=0.9162 | bsr=nan | agg=0.00s | det_auroc=0.938 | tpr@5=0.00
round   5 | acc=0.9223 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round   6 | acc=0.9268 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round   7 | acc=0.9314 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round   8 | acc=0.9345 | bsr=nan | agg=0.00s | det_auroc=0.938 | tpr@5=0.00
round   9 | acc=0.9390 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  10 | acc=0.9436 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  11 | acc=0.9451 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  12 | acc=0.9451 | bsr=nan | agg=0.00s | det_auroc=0.938 | tpr@5=0.00
round  13 | acc=0.9558 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  14 | acc=0.9558 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  15 | acc=0.9619 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  16 | acc=0.9619 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  17 | acc=0.9619 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  18 | acc=0.9619 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  19 | acc=0.9619 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  20 | acc=0.9634 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  21 | acc=0.9680 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  22 | acc=0.9680 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  23 | acc=0.9680 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  24 | acc=0.9695 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  25 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  26 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  27 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  28 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  29 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.844 | tpr@5=0.00
round  30 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  31 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  32 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  33 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  34 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=1.000 | tpr@5=1.00
round  35 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.938 | tpr@5=0.00
round  36 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  37 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.875 | tpr@5=0.00
round  38 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  39 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
round  40 | acc=0.9710 | bsr=nan | agg=0.00s | det_auroc=0.969 | tpr@5=0.00
