device=cuda dataset=fraud(real) clients=20 malicious=4 defense=fedavg attack=gaussian
round   1 | acc=0.8460 | bsr=nan | agg=0.00s
round   2 | acc=0.8476 | bsr=nan | agg=0.00s
round   3 | acc=0.8476 | bsr=nan | agg=0.00s
round   4 | acc=0.6982 | bsr=nan | agg=0.00s
round   5 | acc=0.8491 | bsr=nan | agg=0.00s
round   6 | acc=0.8506 | bsr=nan | agg=0.00s
round   7 | acc=0.8430 | bsr=nan | agg=0.00s
round   8 | acc=0.8857 | bsr=nan | agg=0.00s
round   9 | acc=0.8918 | bsr=nan | agg=0.00s
round  10 | acc=0.9299 | bsr=nan | agg=0.00s
round  11 | acc=0.8659 | bsr=nan | agg=0.00s
round  12 | acc=0.9284 | bsr=nan | agg=0.00s
round  13 | acc=0.8506 | bsr=nan | agg=0.00s
round  14 | acc=0.8643 | bsr=nan | agg=0.00s
round  15 | acc=0.8582 | bsr=nan | agg=0.00s
round  16 | acc=0.8750 | bsr=nan | agg=0.00s
round  17 | acc=0.8887 | bsr=nan | agg=0.00s
round  18 | acc=0.8948 | bsr=nan | agg=0.00s
round  19 | acc=0.8674 | bsr=nan | agg=0.00s
round  20 | acc=0.9253 | bsr=nan | agg=0.00s
round  21 | acc=0.9284 | bsr=nan | agg=0.00s
round  22 | acc=0.9482 | bsr=nan | agg=0.00s
round  23 | acc=0.9390 | bsr=nan | agg=0.00s
round  24 | acc=0.9665 | bsr=nan | agg=0.00s
round  25 | acc=0.9543 | bsr=nan | agg=0.00s
round  26 | acc=0.9345 | bsr=nan | agg=0.00s
round  27 | acc=0.9390 | bsr=nan | agg=0.00s
round  28 | acc=0.9497 | bsr=nan | agg=0.00s
round  29 | acc=0.9329 | bsr=nan | agg=0.00s
round  30 | acc=0.9527 | bsr=nan | agg=0.00s
round  31 | acc=0.9405 | bsr=nan | agg=0.00s
round  32 | acc=0.8765 | bsr=nan | agg=0.00s
round  33 | acc=0.9451 | bsr=nan | agg=0.00s
round  34 | acc=0.9345 | bsr=nan | agg=0.00s
round  35 | acc=0.9512 | bsr=nan | agg=0.00s
round  36 | acc=0.9436 | bsr=nan | agg=0.00s
round  37 | acc=0.9482 | bsr=nan | agg=0.00s
round  38 | acc=0.9497 | bsr=nan | agg=0.00s
round  39 | acc=0.9451 | bsr=nan | agg=0.00s
round  40 | acc=0.9238 | bsr=nan | agg=0.00s
