device=cuda dataset=fraud(real) clients=20 malicious=4 defense=multi_krum attack=constrained_backdoor
round   1 | acc=0.7698 | bsr=0.000 | agg=0.03s | det_auroc=0.938 | tpr@5=0.00
round   2 | acc=0.8247 | bsr=0.000 | agg=0.04s | det_auroc=0.938 | tpr@5=0.00
round   3 | acc=0.8521 | bsr=1.000 | agg=0.03s | det_auroc=0.906 | tpr@5=0.00
round   4 | acc=0.8857 | bsr=1.000 | agg=0.03s | det_auroc=0.859 | tpr@5=0.00
round   5 | acc=0.8933 | bsr=1.000 | agg=0.03s | det_auroc=0.844 | tpr@5=0.00
round   6 | acc=0.9040 | bsr=1.000 | agg=0.03s | det_auroc=0.719 | tpr@5=0.00
round   7 | acc=0.9101 | bsr=1.000 | agg=0.03s | det_auroc=0.688 | tpr@5=0.00
round   8 | acc=0.9131 | bsr=1.000 | agg=0.03s | det_auroc=0.562 | tpr@5=0.00
round   9 | acc=0.9177 | bsr=1.000 | agg=0.03s | det_auroc=0.547 | tpr@5=0.00
round  10 | acc=0.9253 | bsr=1.000 | agg=0.03s | det_auroc=0.516 | tpr@5=0.00
round  11 | acc=0.9268 | bsr=1.000 | agg=0.03s | det_auroc=0.516 | tpr@5=0.00
round  12 | acc=0.9314 | bsr=1.000 | agg=0.03s | det_auroc=0.516 | tpr@5=0.00
round  13 | acc=0.9345 | bsr=1.000 | agg=0.03s | det_auroc=0.516 | tpr@5=0.00
round  14 | acc=0.9390 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  15 | acc=0.9405 | bsr=1.000 | agg=0.03s | det_auroc=0.500 | tpr@5=0.00
round  16 | acc=0.9421 | bsr=1.000 | agg=0.03s | det_auroc=0.500 | tpr@5=0.00
round  17 | acc=0.9436 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  18 | acc=0.9405 | bsr=1.000 | agg=0.03s | det_auroc=0.500 | tpr@5=0.00
round  19 | acc=0.9405 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  20 | acc=0.9421 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  21 | acc=0.9497 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  22 | acc=0.9527 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
round  23 | acc=0.9588 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  24 | acc=0.9619 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  25 | acc=0.9619 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  26 | acc=0.9665 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  27 | acc=0.9665 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
round  28 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.500 | tpr@5=0.00
round  29 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  30 | acc=0.9634 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  31 | acc=0.9634 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  32 | acc=0.9634 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
round  33 | acc=0.9634 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  34 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  35 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
round  36 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  37 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.484 | tpr@5=0.00
round  38 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.453 | tpr@5=0.00
round  39 | acc=0.9649 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
round  40 | acc=0.9665 | bsr=1.000 | agg=0.03s | det_auroc=0.469 | tpr@5=0.00
