device=cuda dataset=fraud(real) clients=20 malicious=4 defense=median attack=spurious_feature
round   1 | acc=0.6921 | bsr=nan | agg=0.01s
round   2 | acc=0.7210 | bsr=nan | agg=0.01s
round   3 | acc=0.7591 | bsr=nan | agg=0.01s
round   4 | acc=0.7881 | bsr=nan | agg=0.01s
round   5 | acc=0.8186 | bsr=nan | agg=0.01s
round   6 | acc=0.8399 | bsr=nan | agg=0.01s
round   7 | acc=0.8659 | bsr=nan | agg=0.01s
round   8 | acc=0.8841 | bsr=nan | agg=0.01s
round   9 | acc=0.8963 | bsr=nan | agg=0.01s
round  10 | acc=0.9131 | bsr=nan | agg=0.01s
round  11 | acc=0.9223 | bsr=nan | agg=0.01s
round  12 | acc=0.9345 | bsr=nan | agg=0.01s
round  13 | acc=0.9375 | bsr=nan | agg=0.01s
round  14 | acc=0.9436 | bsr=nan | agg=0.01s
round  15 | acc=0.9451 | bsr=nan | agg=0.01s
round  16 | acc=0.9482 | bsr=nan | agg=0.01s
round  17 | acc=0.9543 | bsr=nan | agg=0.01s
round  18 | acc=0.9558 | bsr=nan | agg=0.01s
round  19 | acc=0.9558 | bsr=nan | agg=0.01s
round  20 | acc=0.9558 | bsr=nan | agg=0.01s
round  21 | acc=0.9604 | bsr=nan | agg=0.01s
round  22 | acc=0.9604 | bsr=nan | agg=0.01s
round  23 | acc=0.9604 | bsr=nan | agg=0.01s
round  24 | acc=0.9604 | bsr=nan | agg=0.01s
round  25 | acc=0.9604 | bsr=nan | agg=0.01s
round  26 | acc=0.9588 | bsr=nan | agg=0.01s
round  27 | acc=0.9588 | bsr=nan | agg=0.01s
round  28 | acc=0.9588 | bsr=nan | agg=0.00s
round  29 | acc=0.9588 | bsr=nan | agg=0.01s
round  30 | acc=0.9588 | bsr=nan | agg=0.00s
round  31 | acc=0.9588 | bsr=nan | agg=0.01s
round  32 | acc=0.9588 | bsr=nan | agg=0.01s
round  33 | acc=0.9604 | bsr=nan | agg=0.01s
round  34 | acc=0.9604 | bsr=nan | agg=0.00s
round  35 | acc=0.9588 | bsr=nan | agg=0.01s
round  36 | acc=0.9588 | bsr=nan | agg=0.01s
round  37 | acc=0.9588 | bsr=nan | agg=0.01s
round  38 | acc=0.9588 | bsr=nan | agg=0.01s
round  39 | acc=0.9588 | bsr=nan | agg=0.01s
round  40 | acc=0.9588 | bsr=nan | agg=0.01s
