device=cuda dataset=fmnist(real) clients=20 malicious=4 defense=fedavg attack=gaussian
round   1 | acc=0.1400 | bsr=nan | agg=0.01s
round   2 | acc=0.2491 | bsr=nan | agg=0.01s
round   3 | acc=0.2773 | bsr=nan | agg=0.01s
round   4 | acc=0.3073 | bsr=nan | agg=0.01s
round   5 | acc=0.4097 | bsr=nan | agg=0.01s
round   6 | acc=0.3571 | bsr=nan | agg=0.01s
round   7 | acc=0.1929 | bsr=nan | agg=0.01s
round   8 | acc=0.3647 | bsr=nan | agg=0.01s
round   9 | acc=0.3337 | bsr=nan | agg=0.01s
round  10 | acc=0.4057 | bsr=nan | agg=0.01s
round  11 | acc=0.5334 | bsr=nan | agg=0.01s
round  12 | acc=0.4387 | bsr=nan | agg=0.01s
round  13 | acc=0.4489 | bsr=nan | agg=0.01s
round  14 | acc=0.5641 | bsr=nan | agg=0.01s
round  15 | acc=0.5511 | bsr=nan | agg=0.01s
round  16 | acc=0.4773 | bsr=nan | agg=0.01s
round  17 | acc=0.4326 | bsr=nan | agg=0.01s
round  18 | acc=0.5252 | bsr=nan | agg=0.01s
round  19 | acc=0.5150 | bsr=nan | agg=0.01s
round  20 | acc=0.3451 | bsr=nan | agg=0.01s
round  21 | acc=0.2655 | bsr=nan | agg=0.01s
round  22 | acc=0.4027 | bsr=nan | agg=0.01s
round  23 | acc=0.1373 | bsr=nan | agg=0.01s
round  24 | acc=0.1418 | bsr=nan | agg=0.01s
round  25 | acc=0.3707 | bsr=nan | agg=0.01s
round  26 | acc=0.4066 | bsr=nan | agg=0.01s
round  27 | acc=0.3346 | bsr=nan | agg=0.01s
round  28 | acc=0.4889 | bsr=nan | agg=0.01s
round  29 | acc=0.6404 | bsr=nan | agg=0.01s
round  30 | acc=0.4613 | bsr=nan | agg=0.01s
round  31 | acc=0.5710 | bsr=nan | agg=0.01s
round  32 | acc=0.4524 | bsr=nan | agg=0.01s
round  33 | acc=0.6162 | bsr=nan | agg=0.01s
round  34 | acc=0.6472 | bsr=nan | agg=0.01s
round  35 | acc=0.1054 | bsr=nan | agg=0.01s
round  36 | acc=0.5214 | bsr=nan | agg=0.01s
round  37 | acc=0.6076 | bsr=nan | agg=0.01s
round  38 | acc=0.5105 | bsr=nan | agg=0.01s
round  39 | acc=0.6396 | bsr=nan | agg=0.01s
round  40 | acc=0.3398 | bsr=nan | agg=0.01s
round  41 | acc=0.3394 | bsr=nan | agg=0.01s
round  42 | acc=0.5678 | bsr=nan | agg=0.01s
round  43 | acc=0.2116 | bsr=nan | agg=0.01s
round  44 | acc=0.0999 | bsr=nan | agg=0.01s
round  45 | acc=0.1013 | bsr=nan | agg=0.01s
round  46 | acc=0.1019 | bsr=nan | agg=0.01s
round  47 | acc=0.1090 | bsr=nan | agg=0.01s
round  48 | acc=0.0904 | bsr=nan | agg=0.01s
round  49 | acc=0.0988 | bsr=nan | agg=0.01s
round  50 | acc=0.1000 | bsr=nan | agg=0.01s
round  51 | acc=0.1000 | bsr=nan | agg=0.01s
round  52 | acc=0.1021 | bsr=nan | agg=0.01s
round  53 | acc=0.1050 | bsr=nan | agg=0.01s
round  54 | acc=0.1030 | bsr=nan | agg=0.01s
round  55 | acc=0.1000 | bsr=nan | agg=0.01s
round  56 | acc=0.0992 | bsr=nan | agg=0.01s
round  57 | acc=0.1170 | bsr=nan | agg=0.01s
round  58 | acc=0.1001 | bsr=nan | agg=0.01s
round  59 | acc=0.1032 | bsr=nan | agg=0.01s
round  60 | acc=0.0869 | bsr=nan | agg=0.01s
